id,name,description,muscle_group,difficulty,demonstration_video,demonstration_video_2,calories,equipment
1,Отжимания ноги на возвышенности,В этом упражнении больше работает трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/09/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%BD%D0%B0-%D0%B2%D0%BE%D0%B7%D0%B2%D1%8B%D1%88%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8.gif,,0.4,Со своим весом
2,Шраги,В этом упражнении работает верх спины.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D1%80%D0%B0%D0%B3%D0%B8-2.gif,,0.4,С резиновыми петлями
3,Сгибания на бицепс,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B4%D0%B2%D1%83%D0%BC%D1%8F-%D1%80%D1%83%D0%BA%D0%B0%D0%BC%D0%B8.gif,,0.4,С резиновыми петлями
4,Классические отжимания,"В этом упражнении работает грудь и трицепс. Так же, если не хватает сил для полноценных отжиманий, то можно отжиматься с колен.",Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA.gif,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%81-%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD-1.gif,0.4,Со своим весом
5,Отжимания от стульев,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,2,https://makefitness.pro/wp-content/uploads/2019/10/%D0%9E%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BE%D1%82-%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2-2-%D1%81%D1%82%D1%83%D0%BB%D0%B0-%D0%9A%D0%BE%D0%BB%D1%8F.gif,https://makefitness.pro/wp-content/uploads/2019/10/%D0%9E%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BE%D1%82-%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2-%D0%BE%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-3-%D1%81%D1%82%D1%83%D0%BB%D0%B0-%D0%9A%D0%BE%D0%BB%D1%8F.gif,0.4,Со своим весом
6,Отжимания узким хватом,В этом упражнении больше работает трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%83%D0%B7%D0%BA%D0%B8%D0%B5.gif,,0.4,Со своим весом
7,Отжимания лучника,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BB%D1%83%D1%87%D0%BD%D0%B8%D0%BA%D0%B0.gif,,0.4,Со своим весом
8,Отжимания с подносом колена,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%81-%D0%BF%D0%BE%D0%B4%D0%BD%D0%BE%D1%81%D0%BE%D0%BC-%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B0-%D0%B2-%D0%BD%D0%B8%D0%B6%D0%BD%D0%B5%D0%B9-%D1%82%D0%BE%D1%87%D0%BA%D0%B5.gif,,0.4,Со своим весом
9,Кик отжимания,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BA%D0%B8%D0%BA-%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F.gif,,0.4,Со своим весом
10,Жим гантель лежа (общая грудь),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0-1.gif,,0.4,С гантелями
11,Жим гантель под положительным углом (верх груди),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%BE%D0%B9.gif,,0.4,С гантелями
12,Жим гантель под отрицательным углом (низ грудных мышц),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BF%D0%BE%D0%B4-%D0%BE%D1%82%D1%80%D0%B8%D1%86%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC-%D1%83%D0%B3%D0%BB%D0%BE%D0%BC-%D0%BB%D1%91%D0%B6%D0%B0.gif,,0.4,С гантелями
13,Разведение гантель лежа,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,2,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0.gif,,0.4,С гантелями
14,Разведение гантель лежа под положительным углом (верх груди),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,2,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0-%D0%BD%D0%B0-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%BE%D0%B9-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5.gif,,0.4,С гантелями
15,Разведение гантель лежа под отрицательным углом (низ грудных мышц),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D0%BF%D0%BE%D0%B4-%D0%BE%D1%82%D1%80%D0%B8%D1%86%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC-%D1%83%D0%B3%D0%BB%D0%BE%D0%BC.gif,,0.4,С гантелями
16,Пуловер с гантелей,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/09/%D0%BF%D0%BE%D0%BB%D0%BE%D0%B2%D0%B5%D1%80-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9.gif,,0.4,С гантелями
17,Жим штанги лежа,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%BB%D0%B5%D0%B6%D0%B0.gif,,0.4,Со штангой
18,Жим штанги лежа  под положительным углом (верх грудных мышц),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D0%BD%D0%B0-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%BE%D0%B9.gif,,0.4,Со штангой
19,Жим штанги лежа под отрицательным углом (низ грудных мышц),В этом упражнении работает грудь и трицепс.,Грудные мыщцы,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%BB%D1%91%D0%B6%D0%B0-%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B2%D0%BD%D0%B8%D0%B7.gif,,0.4,Со штангой
20,Отжимания с резиной,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D0%B5-%D1%81-%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BA%D0%BE%D0%B9.gif,,0.4,С резиной
21,Отжимания на брусьях,В этом упражнении работает грудь и трицепс.,Грудные мыщцы,5,https://makefitness.pro/wp-content/uploads/2020/03/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B1%D1%80%D1%83%D1%81%D1%8C%D1%8F%D1%85-%D0%B4%D0%BB%D1%8F-%D0%B3%D1%80%D1%83%D0%B4%D0%B8.gif,,0.4,На брусьях
22,Гиперэкстензия лежа,В этом упражнении работают поясничные мышцы.,Мышцы спины,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B3%D0%B8%D0%BF%D0%B5%D1%80%D1%8D%D0%BA%D1%81%D1%82%D0%B5%D0%BD%D0%B7%D0%B8%D1%8F.gif,,0.4,Со своим весом
23,Повороты корпуса,В этом упражнении работают поясничные мышцы и частично задействованы широчайшие мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D1%8B-%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0-%D0%BB%D0%B5%D0%B6%D0%B0.gif,,0.4,Со своим весом
24,Пловец,В этом упражнении работают поясничные мышцы и широчайшие мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BB%D0%B0%D0%B2%D0%B5%D1%86-%D0%B1%D0%B5%D0%B7-%D0%BD%D0%BE%D0%B3.gif,,0.4,Со своим весом
25,Приведение локтей лежа,В этом упражнении работают поясничные мышцы и широчайшие мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BB%D0%BE%D0%BA%D1%82%D0%B5%D0%B9-%D0%BB%D0%B5%D0%B6%D0%B0-1.gif,,0.4,Со своим весом
26,Тяга гантель в наклоне,В этом упражнении работают широчайшие мышцы.,Мышцы спины,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5.gif,,0.4,С гантелями
27,Тяга гантель в упоре,В этом упражнении работают широчайшие мышцы и нет нагрузки на поясницу.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BB%D1%91%D0%B6%D0%B0-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5.gif,,0.4,С гантелями
28,Шраги,В этом упражнении работают трапециевидные мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D1%80%D0%B0%D0%B3%D0%B8-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
29,Мертвая тяга,В этом упражнении работают поясничные мышцы и ягодицы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B0%D1%8F-%D1%82%D1%8F%D0%B3%D0%B0-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
30,Тяга штанги в наклоне,В этом упражнении работают широчайшие мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B52.gif,,0.4,Со штангой
31,Тяга штанги в наклоне обратным хватом,В этом упражнении работают широчайшие мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,Со штангой
32,Классическая становая тяга,В этом упражнении преимущественно работают низ спины и ноги.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F-%D1%82%D1%8F%D0%B3%D0%B0.gif,,0.4,Со штангой
33,Становая тяга «сумо»,В этом упражнении преимущественно работают низ спины и ноги.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F-%D1%81%D1%83%D0%BC%D0%BE.gif,,0.4,Со штангой
34,Наклоны со штангой,В этом упражнении работают поясничные мышцы.,Мышцы спины,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D1%8B-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B92.gif,,0.4,Со штангой
35,Шраги,В этом упражнении работает верх спины.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D1%80%D0%B0%D0%B3%D0%B8-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B9.gif,,0.4,Со штангой
36,Подтягивания широким хватом,В этом упражнении работают широчайшие и трапециевидные мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%9F%D0%BE%D0%B4%D1%82%D1%8F%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D1%88%D0%B8%D1%80%D0%BE%D0%BA%D0%B8%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,На турнике
37,Тяга в наклоне,В этом упражнении работают широчайшие и ромбовидные мышцы.,Мышцы спины,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D0%BA-%D0%BF%D0%BE%D1%8F%D1%81%D1%83-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5-1.gif,,0.4,С резиновыми петлями
38,Тяга в наклоне одной рукой поочередно,В этом упражнении работают широчайшие мышцы.,Мышцы спины,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D0%BA-%D0%BF%D0%BE%D1%8F%D1%81%D1%83-%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9-%D1%80%D1%83%D0%BA%D0%BE%D0%B9.gif,,0.4,С резиновыми петлями
39,Наклоны вперед,В этом упражнении работают широчайшие и ромбовидные мышцы.,Мышцы спины,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D1%8B-%D0%B2%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-1.gif,,0.4,С резиновыми петлями
40,Классический подъем гантель на бицепс стоя,В этом упражнении работает бицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81.gif,,0.4,С гантелями
41,Подъем гантель на бицепс с супинацией,В этом упражнении работает бицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D1%81%D1%83%D0%BF%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D0%B5%D0%B9.gif,,0.4,С гантелями
42,"Подъем на бицепс сидя, с упором в бедро",В этом упражнении работает бицепс.,Мышцы рук,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8C%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D1%81%D0%B8%D0%B4%D1%83-%D1%81-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D0%BC-%D0%B2-%D0%B1%D0%B5%D0%B4%D1%80%D0%BE.gif,,0.4,С гантелями
43,Сгибания рук в упоре о скамью,В этом упражнении работает бицепс.,Мышцы рук,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%B2-%D1%83%D0%BF%D0%BE%D1%80%D0%B5.gif,,0.4,С гантелями
44,Подъем гантель на бицепс сидя на скамье,В этом упражнении работает бицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D1%81%D0%B8%D0%B4%D1%8F-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5.gif,,0.4,С гантелями
45,Подъем на бицепс с упором о скамью,В этом упражнении работает бицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D1%81-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D0%BC-%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D0%BC%D0%B5%D0%B9%D0%BA%D1%83.gif,,0.4,С гантелями
46,Французский жим с гантелями стоя,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D1%81%D1%82%D0%BE%D1%8F-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9.gif,,0.4,С гантелями
47,Французский жим с гантелями сидя,В этом упражнении работает трицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D1%81%D0%B8%D0%B4%D1%8F.gif,,0.4,С гантелями
48,Французский жим с гантелями лёжа (с 2 гантелями),В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D0%BB%D1%91%D0%B6%D0%B0-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
49,Разгибание руки из-за головы,В этом упражнении работает трицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D1%88%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D1%80%D1%83%D0%BA%D0%B8-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%B8%D0%B7-%D0%B7%D0%B0-%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D1%8B.gif,,0.4,С гантелями
50,Разгибание руки с гантелей в наклоне,В этом упражнении работает трицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D1%80%D1%83%D0%BA%D0%B8-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5.gif,,0.4,С гантелями
51,Молоток,В этом упражнении работает предплечье.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%BA-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
52,Подъем гантель с упором о скамью,В этом упражнении работает предплечье.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D0%BB%D0%B5%D1%87%D1%8C%D0%B5-%D1%81-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D0%BC-%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D1%8E.gif,,0.4,С гантелями
53,Узкие отжимания,В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6-%D1%83%D0%B7%D0%BA%D0%B8%D0%B5.gif,,0.4,Со своим весом
54,Разгибания рук в обратной пленке,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F-%D1%80%D1%83%D0%BA-%D0%BE%D1%82-%D0%BF%D0%BE%D0%BB%D0%B0-%D0%B2-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%BE%D0%B9-%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B5.gif,,0.4,Со своим весом
55,Отжимания спиной к скамье или стулу,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D1%81%D0%BF%D0%B8%D0%BD%D0%BE%D0%B9-%D0%BA-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5.gif,,0.4,Со своим весом
56,Выпады назад,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B9-%D0%BD%D0%B0%D0%B7%D0%B0%D0%B4.gif,,0.4,Со штангой
57,Сгибания на бицепс поочередно каждой рукой,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9-%D1%80%D1%83%D0%BA%D0%BE%D0%B9-1.gif,,0.4,С резиновыми петлями
58,Сгибания на бицепс в наклоне,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B4%D0%B2%D1%83%D0%BC%D1%8F-%D1%80%D1%83%D0%BA%D0%B0%D0%BC%D0%B8-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5.gif,,0.4,С резиновыми петлями
