id,name,description,muscle_group,difficulty,demonstration_video,demonstration_video_2,calories,equipment
59,Сгибания на бицепс в наклоне одной рукой,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5.gif,,0.4,С резиновыми петлями
60,Молотковые сгибания,В этом упражнении работает предплечье.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B2-%D1%81%D1%82%D0%B8%D0%BB%D0%B5-%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%D0%BA%D0%BE%D0%BC.gif,,0.4,С резиновыми петлями
61,Молотковые сгибания одной рукой,В этом упражнении работает предплечье.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81%D1%82%D0%BE%D1%8F-%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%D0%BA%D0%BE%D0%BC.gif,,0.4,С резиновыми петлями
62,Молотковые сгибания в наклоне,В этом упражнении работает предплечье.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5-%D0%BC%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%BC.gif,,0.4,С резиновыми петлями
63,Разгибания из-за головы,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D1%80%D1%83%D0%BA-%D0%B2%D0%B2%D0%B5%D1%80%D1%85-%D0%B8%D0%B7-%D0%B7%D0%B0-%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D1%8B.gif,,0.4,С резиновыми петлями
64,Разгибания из-за плеч,В этом упражнении работает трицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%82%D1%80%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B2%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B8%D0%B7-%D0%B7%D0%B0-%D0%BF%D0%BB%D0%B5%D1%87.gif,,0.4,С резиновыми петлями
65,Разгибания руки в наклоне,В этом упражнении работает трицепс.,Мышцы рук,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D1%82%D1%80%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5-1.gif,,0.4,С резиновыми петлями
66,Разгибания руки с резинкой,В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/04/%D1%80%D0%B0%D0%B7%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D1%80%D1%83%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%82%D1%80%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81%D1%82%D0%BE%D1%8F.gif,,0.4,С фитнес-резинкой
67,Сгибания с резинкой,В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/04/%D1%81%D0%B3%D0%B8%D0%B1%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81.gif,,0.4,С фитнес-резинкой
68,Тяга штанги обратным хватом,В этом упражнении работает бицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D1%82%D1%8F%D0%B3%D0%B0-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%B2-%D0%BD%D0%B0%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,Со штангой
69,Подъем штанги на бицепс,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D0%B5%D0%BC-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81.gif,,0.4,Со штангой
70,Подъем штанги с упором о скамью,В этом упражнении работает бицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B9-%D0%BB%D0%B5%D0%B6%D0%B0-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5.gif,,0.4,Со штангой
71,Жим лежа узким хватом,В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B6%D0%B8%D0%BC-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%BB%D0%B5%D0%B6%D0%B0-%D1%83%D0%B7%D0%BA%D0%B8%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,Со штангой
72,Французский жим лежа,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%81%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B9-%D0%BB%D0%B5%D0%B6%D0%B0.gif,,0.4,Со штангой
73,Французский жим сидя,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D1%81%D0%B8%D0%B4%D1%8F.gif,,0.4,Со штангой
74,Французский жим стоя,В этом упражнении работает трицепс.,Мышцы рук,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC-%D1%81%D1%82%D0%BE%D1%8F.gif,,0.4,Со штангой
75,Подъем штанги на бицепс обратным хватом,В этом упражнении работает предплечье.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D0%B5%D0%BC-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%B8-%D0%BD%D0%B0-%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,Со штангой
76,Подтягивания обратным хватом,В этом упражнении работает бицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%9F%D0%BE%D0%B4%D1%82%D1%8F%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,На турнике
77,Подтягивания параллельным хватом,В этом упражнении работает бицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%9F%D0%BE%D0%B4%D1%82%D1%8F%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BF%D0%B0%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC-%D1%85%D0%B2%D0%B0%D1%82%D0%BE%D0%BC.gif,,0.4,На турнике
78,Отжимания на брусьях узким хватом,В этом упражнении работает трицепс.,Мышцы рук,5,https://makefitness.pro/wp-content/uploads/2020/08/%D0%BE%D1%82%D0%B6%D0%B8%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B1%D1%80%D1%83%D1%81%D1%8C%D1%8F%D1%85-%D0%B4%D0%BB%D1%8F-%D1%82%D1%80%D0%B8%D1%86%D0%B5%D0%BF%D1%81%D0%BE%D0%B2.gif,,0.4,На брусьях
79,Приседания,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,1,https://makefitness.pro/wp-content/uploads/2020/09/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F.gif,,0.4,Со своим весом
80,Широкие приседания,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F-%D1%88%D0%B8%D1%80%D0%BE%D0%BA%D0%B8%D0%B5.gif,,0.4,Со своим весом
81,Выпады,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/09/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%B2%D0%BF%D0%B5%D1%80%D0%B5%D0%B4.gif,,0.4,Со своим весом
82,Выпады назад,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%BD%D0%B0%D0%B7%D0%B0%D0%B4.gif,,0.4,Со своим весом
83,Выпады в сторону,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%B2-%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83.gif,,0.4,Со своим весом
84,Шаги в сторону в полуприседе,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D0%B0%D0%B3%D0%B8-%D0%B2-%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83-%D0%B2-%D0%BF%D0%BE%D0%BB%D1%83%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B5-1.gif,,0.4,Со своим весом
85,Шаги полу-гуськом,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%85%D0%BE%D0%B4%D1%8C%D0%B1%D0%B0-%D0%B2-%D0%BF%D0%BE%D0%BB%D1%83%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B5.gif,,0.4,Со своим весом
86,Приседания с шагом в сторону,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%88%D0%B0%D0%B3%D0%B8-%D0%B2-%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83-%D1%81-%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%D0%B8.gif,,0.4,Со своим весом
87,Подъем на стул (диван/скамью),В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B7%D0%B0%D1%88%D0%B0%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B2%D0%BE%D0%B7%D0%B2%D1%8B%D1%88%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C.gif,,0.4,Со своим весом
88,Боковой подъем на стул (диван/скамью),В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B7%D0%B0%D1%88%D0%B0%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B2%D0%BE%D0%B7%D0%B2%D1%8B%D1%88%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C-%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC.gif,,0.4,Со своим весом
89,Приседания с подъемом бедра,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4-%D1%81-%D0%BF%D0%BE%D0%B4%D1%8A%D0%B5%D0%BC%D0%BE%D0%BC-%D0%B1%D0%B5%D0%B4%D1%80%D0%B0.gif,,0.4,Со своим весом
90,Приседания со скручиванем корпуса,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4-%D1%81-%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC-%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0.gif,,0.4,Со своим весом
91,Приседания с подъемом на носки,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4-%D1%81-%D0%BF%D0%BE%D0%B4%D1%8A%D0%B5%D0%BC%D0%BE%D0%BC-%D0%BD%D0%B0-%D0%BD%D0%BE%D1%81%D0%BA%D0%B8.gif,,0.4,Со своим весом
92,Выпады со штангой на месте,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%BD%D0%B0-%D0%BC%D0%B5%D1%81%D1%82%D0%B5-1.gif,,0.4,Со штангой
93,Приседания с боковым отведением ноги,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D1%81-%D0%BE%D1%82%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%B2-%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83.gif,,0.4,Со своим весом
94,Махи вверх стоя на четвереньках,В этом упражнении работают ягодичные мышцы.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B0%D1%85%D0%B8-%D1%81%D0%BE%D0%B3%D0%BD%D1%83%D1%82%D0%BE%D0%B9-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D0%BD%D0%B0-%D1%87%D0%B5%D1%82%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%85-1.gif,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B0%D1%85%D0%B8-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D1%81-%D0%B2%D1%8B%D0%BF%D1%80%D1%8F%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-%D0%BD%D0%B0-%D1%87%D0%B5%D1%82%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%85.gif,0.4,Со своим весом
95,Махи ногой назад с упором о стул (стену),В этом упражнении работают ягодичные мышцы.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BE%D1%82%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%BD%D0%B0%D0%B7%D0%B0%D0%B4-%D1%81%D1%82%D0%BE%D1%8F-1.gif,,0.4,Со своим весом
96,Ягодичный мостик,В этом упражнении работают ягодичные мышцы.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D1%8F%D0%B3%D0%BE%D0%B4%D0%B8%D1%87%D0%BD%D1%8B%D0%B9-%D0%BC%D0%BE%D1%81%D1%82%D0%B8%D0%BA.gif,,0.4,Со своим весом
97,Ягодичный мостик на одной ноге,В этом упражнении работают ягодичные мышцы.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D1%8F%D0%B3%D0%BE%D0%B4%D0%B8%D1%87%D0%BD%D1%8B%D0%B9-%D0%BC%D0%BE%D1%81%D1%82%D0%B8%D0%BA-%D0%BD%D0%B0-%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9-%D0%BD%D0%BE%D0%B3%D0%B5.gif,,0.4,Со своим весом
98,Маятник,В этом упражнении работают ягодичные мышцы.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BA%D1%80%D1%83%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5-%D0%BC%D0%B0%D1%85%D0%B8-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D0%BD%D0%B0-%D1%87%D0%B5%D1%82%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%85.gif,,0.4,Со своим весом
99,Отведение ноги в сторону на четвереньках,В этом упражнении работают ягодичные мышцы.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B0%D1%85%D0%B8-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D0%B2%D0%B1%D0%BE%D0%BA-%D0%BD%D0%B0-%D1%87%D0%B5%D1%82%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%85.gif,,0.4,Со своим весом
100,Дотягивания до стула,В этом упражнении работают ягодичные мышцы.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/09/%D0%B4%D0%BE%D1%82%D1%8F%D0%B3%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D1%81%D1%82%D0%BE%D1%8F.gif,,0.4,Со своим весом
101,Отведение ноги в сторону лежа,В этом упражнении работают мышцы внешней части бедра.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B0%D1%85%D0%B8-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D0%B2%D0%B2%D0%B5%D1%80%D1%85-%D0%BB%D0%B5%D0%B6%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BA%D1%83.gif,,0.4,Со своим весом
102,Круговое вращение ногой лежа на боку,В этом упражнении работают мышцы внешней части бедра.,Мышцы ног,1,https://makefitness.pro/wp-content/uploads/2020/09/%D0%BA%D1%80%D1%83%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5-%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BD%D0%BE%D0%B3%D0%BE%D0%B9-%D0%BB%D0%B5%D0%B6%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BA%D1%83.gif,,0.4,Со своим весом
103,Приведение бедра лежа на боку,В этом упражнении работают мышцы внутренней части бедра.,Мышцы ног,2,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B1%D0%B5%D0%B4%D1%80%D0%B0-%D0%BB%D0%B5%D0%B6%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BA%D1%83.gif,,0.4,Со своим весом
104,Приседания с гантелями в руках,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
105,Широкие приседания с одной гантелей,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BF%D0%BB%D0%B8%D0%B5-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
106,Приседание с гантелей на груди,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%BD%D0%B0-%D0%B3%D1%80%D1%83%D0%B4%D0%B8.gif,,0.4,С гантелями
107,Выпады с гантелями,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
108,Выпады назад с гантелями,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%BD%D0%B0%D0%B7%D0%B0%D0%B4-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
109,Болгарские выпады,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%B1%D0%BE%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B5-%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
110,Мертвая тяга с гантелями,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B0%D1%8F-%D1%82%D1%8F%D0%B3%D0%B0-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
111,Подъем на носки с гантелями,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/02/%D0%BF%D0%BE%D0%B4%D1%8A%D1%91%D0%BC-%D0%BD%D0%B0-%D0%B8%D0%BA%D1%80%D1%8B-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8.gif,,0.4,С гантелями
112,Приседания с резинкой,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/04/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F.gif,,0.4,С фитнес-резинкой
113,Приседания с махом ногой,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,5,https://makefitness.pro/wp-content/uploads/2020/04/%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D0%B2%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D1%81-%D0%BC%D0%B0%D1%85%D0%BE%D0%BC-%D0%BD%D0%BE%D0%B3%D0%B8.gif,,0.4,С фитнес-резинкой
114,Приседания с отведением ноги назад,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/04/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B4-%D1%81-%D0%BE%D1%82%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%BD%D0%B0%D0%B7%D0%B0%D0%B4.gif,,0.4,С фитнес-резинкой
115,Приседания с отведением ноги в сторону,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,4,https://makefitness.pro/wp-content/uploads/2020/04/%D0%BF%D1%80%D0%B8%D1%81%D0%B5%D0%B6%D0%B0%D0%BD%D0%B8%D1%8F-%D1%81-%D0%BE%D1%82%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-%D0%BD%D0%BE%D0%B3%D0%B8-%D0%B2-%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83.gif,,0.4,С фитнес-резинкой
116,Ходьба в сторону,В этом упражнении даётся комплексная нагрузка на все мышцы ног.,Мышцы ног,3,https://makefitness.pro/wp-content/uploads/2020/04/%D1%85%D0%BE%D0%B4%D1%8C%D0%B1%D0%B0-%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC.gif,,0.4,С фитнес-резинкой
